pdf,page,Text,Clause
contract_01_Bosch-Automotive-.txt,1,"MUTUAL NON-DISCLOSURE AGREEMENT

Between
Bosch Automotive Service Solutions Inc.
28635 Mound Road
Warren, Michigan 48092
AND

Insert Full Corporate Name and Address of Counterparty

Subject Matter:

Insert Field and Scope of Technology

Effective Date of Agreement: Period Date | 2017
for Exchange of Information: Date2 |, 2017 to

Period of Confidentiality: Period of Confidentiality

THIS AGREEMENT is made as of the Effective Date of Agreement noted above, by and between the above parties.

BACKGROUND:

The parties desire to have discussions of or relating to the Subject Matter for the purposes of evaluating a possible
business relationship between them (“Purpose”). The parties may extend the Subject Matter or add additional
parties by executing one or more addenda to this Agreement.

Such discussions may involve disclosure by one party to the other party of confidential, proprietary or trade secret
information of its own or its licensors (“Confidential Information” as defined below), during the Period for Exchange
of Information.

Both parties recognize the value of the Confidential Information and that it is in their mutual best interests to
maintain the confidential, proprietary and secret nature of the Confidential Information.

THEREFORE, in consideration of the Subject Matter, and the mutual promises herein, the parties agree as follows:

1.

CONFIDENTIAL INFORMATION. The term “Confidential Information” as used herein means all nonpublic
information relating to the Subject Matter that is disclosed by either party, its Affiliates (as defined below), or their
agents (where applicable, collectively referred to as the “Disclosing Party”), directly or indirectly, in writing, orally
or by inspection of premises or tangible objects to the other party (the “Recipient”) that is: (i) marked
confidential or proprietary, or (ii) given the nature of the information or the circumstances surrounding its disclosure,
reasonably should be deemed confidential. Confidential Information includes, but is not limited to documents,
drawings, models, apparatus, sketches, designs, schedules, product plans, marketing plans, technical procedures,
manufacturing processes, software, prototypes, samples, methodologies, formulations, trade secrets, patent
applications, know-how, experimental results, specifications and other business information.

PERIOD OF CONFIDENTIALITY AND NON-USE. The Recipient will use Confidential Information only in
connection with the Purpose as set forth in this Agreement. Recipient shall use the same degree of care to avoid
disclosure or use of the Confidential Information as it uses for its own confidential, proprietary and trade secret
information, but in no case use less than a reasonable degree of care. Recipient agrees to limit disclosure of
Confidential Information to employees and employees of Affiliates having a specific need to know such Confidential
Information for the Purpose and in the case of Affiliates only to the extent that such Affiliate is under obligation to
hold such information in confidence and is made aware of these terms and conditions. Recipient will not disclose or
permit access to Confidential Information to contract workers, consultants or contractors of Recipient or its Affiliates
unless authorized by Disclosing Party in writing and on condition that such persons are bound by obligations of
confidentiality inuring to the benefit of Disclosing Party and its Affiliates at least as restrictive as these terms and
conditions. Recipient shall not without Disclosing Party’s prior written consent reverse engineer, disassemble or
decompile any prototypes, software or other objects which embody the Disclosing Party’s Confidential Information
to obtain access to Disclosing Party’s trade secrets and to the extent such consent is granted Recipient shall
receive and hold such Confidential Information subject to the terms of this Agreement.

Bosch North America Mutual NDA rev. 2017.03.31.IPR-NA Page 1 of 4
",contract
contract_01_Bosch-Automotive-.txt,2,"3. TERM. The term of this Agreement shall be for the Period of Exchange set forth above. Confidentiality obligations
shall survive termination of this Agreement for the Period of Confidentiality set forth above unless the Confidential
Information is a trade secret, in which case the confidentiality obligations shall continue for as long as the
information is a trade secret. Either party may terminate this Agreement upon 30 days prior written notice.

4. NOTICE OF UNAUTHORIZED USE. Recipient shall provide written notice to Disclosing Party without undue delay
of any misuse or misappropriation of Confidential Information which may come to the attention of Recipient. The
Recipient shall cooperate with and aid the Disclosing Party in mitigating and preventing the unauthorized use and
disclosure and any furtherance thereof.

5. EXCLUSIONS AND EXEMPTIONS. Recipient shall have no obligation of confidentiality with respect to any
information which:

5.1. is already known or in the possession of Recipient or its Affiliate at the time of disclosure as shown by the
Recipient's and/or its Affiliates’ files and records prior to the time of disclosure, otherwise than as a result of
any improper act or omission of Recipient or its Affiliate; or

5.2. is or becomes public knowledge through no wrongful act of Recipient; or
5.3. — is rightfully acquired from others who did not obtain it under obligation of confidentiality; or

5.4. is independently developed by an employee, agent or consultant of Recipient without reference to the
Confidential Information; or

5.5. iS approved for release by written authorization from Disclosing Party.

5.6. The Recipient is hereby notified that, as set forth in 18 U.S.C. §1833(b), he/she does not have criminal or
civil liability under U.S. trade secret law for the following disclosures of a trade secret:

5.6.1. disclosure in confidence to a federal, state or local government official, either directly or indirectly, or
to an attorney, provided the disclosure is for the sole purpose of reporting or investigating a
suspected violation of law; and/or

5.6.2. disclosure in a complaint or other document filed in a lawsuit or other proceeding if such filing is
made under seal; and/or

5.6.3. under those circumstances where Recipient files a lawsuit for retaliation against the Disclosing Party
for reporting a suspected violation of law, Recipient may disclose the Disclosing Party’s trade secret
information to its attorney and may use the trade secret information in the court proceeding if
Recipient files any document containing the trade secret under seal and does not disclose the trade
secret, except pursuant to court order.

6. REPRODUCTION AND RETURN OF CONFIDENTIAL INFORMATION. The Confidential Information provided by
the Disclosing Party shall not be copied or reproduced without the Disclosing Party’s prior written permission,
except for such copies as may reasonably be required for the purpose as set forth in Section | of this Agreement.
Disclosing Party may serve written request on Recipient for return or destruction of its Confidential Information at
any time up to six (6) months after the termination or expiry of this Agreement and Recipient shall, within thirty (30)
days of such request or termination, return to the Disclosing Party (or its designees) or certify as destroyed all
Confidential Information, in whatever form, including written or electronically recorded information and all copies
thereof (other than copies retained in automatic back-up and archive systems), provided however that Recipient
shall be entitled to retain one copy of the Confidential Information with its legal counsel or other appropriate
corporate representative to evidence the exchange of information hereunder and in connection with legal or
statutory requirements. All such retained copies shall remain subject to the use and disclosure restrictions in this
Agreement.

7. DISCLOSURES REQUIRED BY LAW. If Recipient is requested, ordered or required by a regulatory agency or any
other government authority or a court to disclose any Confidential Information, Recipient shall promptly notify
Disclosing Party of such request, order or requirement so that Disclosing Party may have the opportunity to contest
the disclosure, including seeking a protective order, or waive Recipient's compliance with this Agreement. _ If
Recipient is (in the opinion of its counsel) compelled to disclose any Confidential Information, or else be liable for
contempt or other penalty or be subject to claims from a third party, Recipient may disclose such Confidential
Information without liability under this Agreement.

8. EXPORT LAWS. Neither party shall export, directly or indirectly, any of the Confidential Information to any country,
person or entity which the US Government, at the time of export, requires an export license or other governmental
approval without first obtaining such license or approval. The Recipient shall first obtain the written consent of

Bosch North America Mutual NDA rev. 2017.03.31.IPR-NA Page 2 of 4
",contract
contract_01_Bosch-Automotive-.txt,3,"20.

Disclosing Party prior to submitting any request for authority to export such Confidential Information. For the
purposes of this Agreement, export occurs when Confidential Information is transferred from one country to another
by any means, including but not limited to physical shipments, FTP file transfers, e-mails, faxes, oral transfers or
remote server access and an export may also occur when Confidential Information is transferred to or accessed by
a person who is neither a citizen nor permanent resident of the country in which such transfer or access is taking
place.

OWNERSHIP OF CONFIDENTIAL INFORMATION. Disclosing Party or its licensors, as the case may be, retain all
rights in Confidential Information disclosed and all documents, prototypes, software development kits (SDKs) and
other similar tangible property embodying, containing or reflecting the same shall remain the property of Disclosing
Party.

NO LICENSE. Neither the execution of this Agreement nor the disclosure of any Confidential Information is
construed as granting either expressly or by implication, estoppel or otherwise, any license or right to the
Confidential Information or any intellectual property rights embodied therein.

NO WARRANTY. All Confidential Information provided under this Agreement is provided “AS IS” and specifically
excludes any warranty, whether express or implied, including without limitation, any implied warranty of
merchantability, fitness for a particular purpose, or accuracy. The Disclosing Party is not liable under this
Agreement for any damages in connection with, related to, or arising out of the use of its Confidential Information.

NO OBLIGATION. This Agreement shall not be construed in any manner to be an obligation to enter into a further
substantive contract or to disclose any particular Confidential Information.

INDEPENDENT DEVELOPMENTS. Disclosing Party understands that Recipient may develop or have developed
information internally, or receive or have received information from other parties that is similar to the Confidential
Information. Accordingly, nothing in this Agreement shall be construed as a representation that Recipient has not
or will not independently develop products that compete with the products or systems contemplated by the
Confidential Information provided that it does so without breaching the terms of this Agreement.

RELATIONSHIP. Each party hereto shall be considered as an independent contractor responsible for its own
expenses and financial obligations incurred in the performance of this Agreement.

NO WAIVER. Neither party waives any rights in invention or development lawfully possessed by it at the time of
signing this Agreement. In addition, this Agreement does not imply any waiver of any rights or action under the
patent, trademark, copyright, trade secret, unfair competition, fair trade or related laws. Failure to exercise any
rights under this Agreement shall not be construed as a waiver of such rights.

INUREMENT. This Agreement shall inure to the benefit of the parties hereto and their respective “Affiliates” (as
defined below), successors, assigns and legal representatives. The parties agree that each party and its Affiliates
may receive Confidential Information from and/or disclose Confidential Information to the other party and the other
party's Affiliates, and that all such Confidential Information shall be governed by this Agreement. Recipient shall be
fully responsible to the Disclosing Party for any breach of this Agreement by the Recipient's Affiliates. “Affiliate”, as
used herein, means an entity that directly or indirectly controls, is controlled by or is under common control with a
party to this Agreement; and as used in this Section ’control”, “controls” or *controlled” means: (i) fifty-one percent
(51%) or more ownership or beneficial interest of income or capital of such entity; (ii) ownership of at least fifty-one
percent (51%) of the voting power or voting equity; or (iii) the ability to otherwise direct or share management
policies of such entity.

INJUNCTIVE RELIEF. The parties agree that any use of Confidential Information in violation of this Agreement
may cause the other party irreparable harm, and may leave it with no adequate remedy at law and shall, thereby,
entitle it to seek injunctive relief in any court with competent jurisdiction over the party or party’s Affiliate in violation.

CHOICE OF LAW. This Agreement is governed and construed in accordance with the laws of the State of
Michigan, without regard to principles of conflict or choice of laws. The Parties hereby unconditionally and
irrevocably agree to submit to the exclusive jurisdiction of the state and federal courts of the State of Michigan.

SURVIVAL. Sections 1, 2, 3, 4, 5, 6, 17, 18, 19 and any sections (or parts thereof) which, by their nature, are
intended to survive termination shall survive termination of this Agreement.

SEVERABILITY. Ifa court finds any provision of this Agreement or any right or obligation invalid or unenforceable,
this Agreement shall be immediately deemed amended to: (i) include a provision that reflects the intent of the
parties, or, if (i) is not possible, (ii) to exclude such provision and the parties shall negotiate in good faith a
substitute provision that reflect the parties’ intent at the time of entering into the Agreement.

Bosch North America Mutual NDA rev. 2017.03.31.IPR-NA Page 3 of 4
",contract
contract_01_Bosch-Automotive-.txt,4,"21. ENTIRE AGREEMENT. This Agreement contains the entire understanding between the parties regarding the
Confidential Information and supersedes all other communications, reports or understandings between the parties
in respect thereto. No change or addition to any provision shall be binding unless it is in writing and signed by an
authorized representative of both parties. All notices shall be in writing and delivered by electronic mail, registered
or certified mail (return receipt requested) to the appropriate address set forth in the signature block below.

22. HEADINGS. Headings in this Agreement are for reference only and shall not affect the meaning of the provisions.

23. COUNTERPARTS. This Agreement may be signed in two or more counterparts including signing facsimile copies.
Each counterpart is deemed an original and all counterparts together shall constitute one and the same instrument.

IN WITNESS WHEREOF, the parties hereto have caused their authorized representatives to execute this Agreement as
of the date first written above.

Insert Full Name of Conterparty Bosch Automotive Service Solutions |

Signature: Signature:
Print Name: Print Name:
Title: Title:
Date: Date:
Signature:
Print Name:
Title:
Date

Bosch North America Mutual NDA rev. 2017.03.31.IPR-NA Page 4 of 4
",contract
contract_118.3-Non-disclosure.txt,1,"Non-Disclosure Agreement

Date:

Parties: [NAME OF INDIVIDUAL RECEIVING INFORMATION] of [address of individual]
and FRODSHAM TOWN COUNCIL whose registered office is at CASTLE PARK HOUSE, CASTLE
PARK, FRODSHAM, WAG 6SB (the Discloser)

1.

The Discloser intends to disclose information (the Confidential Information) to the Recipient for the
purpose of recommendation of future land use of the decommissioned play area on Ship Street (the
Purpose).

The Recipient undertakes not to use the Confidential Information for any purpose except the Purpose,
without first obtaining the written agreement of the Discloser.

The Recipient undertakes to keep the Confidential Information secure and not to disclose it to any third
party.

The undertakings in clauses 2 and 3 above apply to all of the information disclosed by the Discloser to
the Recipient, regardless of the way or form in which it is disclosed or recorded but they do not apply
to:

a) any information which is or in future comes into the public domain (unless as a result of the breach
of this Agreement); or

b) any information which is already known to the Recipient and which was not subject to any
obligation of confidence before it was disclosed to the Recipient by the Discloser.

Nothing in this Agreement will prevent the Recipient from making any disclosure of the Confidential
Information required by law or by any competent authority.

The Recipient will, on request from the Discloser, return all copies and records of the Confidential
Information to the Discloser and will not retain any copies or records of the Confidential Information.

Neither this Agreement nor the supply of any information grants the Recipient any licence, interest or
right in respect of any intellectual property rights of the Discloser except the right to copy the
Confidential Information solely for the Purpose.

The undertakings in clauses 2 and 3 will continue in force indefinitely.
This Agreement is governed by, and is to be construed in accordance with, English law. The English

Courts will have non-exclusive jurisdiction to deal with any dispute which has arisen or may arise out
of, or in connection with, this Agreement.

Signed and Delivered as a Deed by:
[name of Recipient] in the presence of:

Signature

Signature of witness

Name of witness

Address of witness
",contract
contract_12032018_NDA_The%20M.txt,1,"Deloitte. Laga®

Confidentiality Agreement

This Confidentiality Agreement (the “Agreement”) has been prepared on behalf of bpost SA/NV, a limited liability
company of public law, and the City of Brussels (the “Sellers”) with regard to the divestment of their respective
surface areas (the “Sale”) in the Munt Center/Centre Monnaie (the “Munt”).

In consideration of the Sellers agreeing to disclose confidential information (the “Confidential Information”) to
the Candidate (“Disclosee”), the latter hereby undertakes to the Sellers that as Disclosee, they will keep
confidential all and any Confidential Information received at any time. The Disclosee will procure that prior to the
disclosure to any other person (including any professional advisor) of any Confidential Information, such other
person is made aware of the provisions of this Agreement and the fact that the Disclosee will be liable.

The Disclosee acknowledges that the Confidential Information, in as far as it relates to bpost SA/NV, could be
price sensitive information and ensures compliance with the relevant legal and other provisions in this respect
(including, without being limited to, the provisions of the Belgian Law of 2 August 2002 on the supervision of the
financial sector and on the financial services in relation to insider dealing and market manipulation).

Confidential Information shall mean the following:

a) all such information, of any kind whatsoever (whether in oral, written or electronic form, and including,
but not limited to, technical, commercial, financial, accounting, legal and administrative information)
pertaining to the Sale of the Munt and the Sellers as may be provided to the Disclosee and their
responsible managers, officers, employees, shareholders, members of the Board of Directors and advisors
(including financial, legal and tax advisors and auditors) (“Representatives”), by the Sellers, their
advisors or their representatives;

b) all such analyses, compilations, forecasts, notes, memoranda and other documents as the Sellers or
Deloitte Real Estate* and Laga** (the “Advisors”) may have prepared or caused to be prepared and
which may contain, refer to or simply result from, the information mentioned in point (a) above;

c) the fact that the Disclosee (or any of their Representatives) are or have been involved in the analysis of,
in meetings or negotiations related to the Sale, the contents, time and status of such negotiations, and
generally any fact concerning the Sale.

Confidential Information shall exclude:

a) information which had become available to the public prior to the date of disclosure thereof to the
Disclosee or their Representatives, or that became available to the public after such date other than as a
result of a breach of this Agreement by the Disclosee or their Representatives;

b) information which was lawfully in the Disclosee’s possession or in the possession of one or more of their
Representatives prior to disclosure under this Agreement, in each case on a non-confidential basis, which,
to their knowledge was free of any restriction as to its use or disclosure.

The Disclosee acknowledges that they may not approach the representatives of the Sellers and cannot contact
anybody else other than the contact persons from the Advisors.

The Disclosee further undertakes and acknowledges, that neither the representatives of the Sellers nor their
Advisors give any warranty or make any representation as to the accuracy or completeness of any of the
Confidential Information or as to the reasonableness of any assumptions on which the information is based. The
Disclosee agrees that the Sellers or Advisors shall not have any liability to the Disclosee or to any of their directors,
employees, advisors or agents resulting from the use of Confidential Information.
",contract
contract_12032018_NDA_The%20M.txt,2,"Deloitte. Laga®

This Agreement shall in no way constitute a commitment by any person to supply any Confidential Information
or enter into any contract in connection with the Sellers. The obligations of the Disclosee under this Agreement
shall expire the earlier of (a) three years after the date of this Agreement, or (b) the date the Sale between the
Candidate and the Sellers is completed. The obligations of confidentiality and non-disclosure under this Agreement
shall become effective as of the date of signing.

In the event that the Disclosee or any of its Representatives becomes legally compelled to disclose any of the
Confidential Information to a regulatory authority or to any other entity or third party, the Disclosee shall
immediately notify the Sellers before disclosing such Confidential Information, so that the Sellers may seek a
protective order or other appropriate remedy, without prejudice to the Disclosee’s remedies under this Agreement.

It is further understood and agreed that, without prejudice to any other rights or remedies which either party
may have, any breach of these undertakings could cause the Sellers and/or its shareholders irreparable injury. In
the event of an actual or threatened breach by the Disclosee and/or its Representatives of any provisions of this
Agreement, the Sellers shall be entitled (i) to seek injunctive relief in any court of competent jurisdiction
restraining the Disclosee and/or its Representatives from breaching the terms hereof or from disclosing any
Confidential Information to any person and (ii) specific performance and other equitable relief.

This Agreement shall be governed by and construed in accordance with Belgian law and the Parties irrevocably
agree to submit themselves to the exclusive jurisdiction of the Courts of Brussels. In accordance with the
procedure defined in the candidacy file, we would be grateful if you could confirm your understanding and
acceptance of the foregoing by returning to us a signed copy of the present document

Yours sincerely,

Frédéric Sohet Koen Van Gerven

Partner CEO
Deloitte Real Estate | Financial Advisory* bpost SA/NV

The Candidate / Disclosee

NA€MG@ i
Company i
Title
Date

Signature

*A department of Deloitte Consulting & Advisory CVBA

Codperatieve vennootschap met beperkte aansprakelijkheid/Société coopérative a responsabilité limitée
Registered Office: Gateway building, Luchthaven Nationaal 1 J, 1930 Zaventem

VAT BE 0474.429.572 - RPR Brussel/RPM Bruxelles - IBAN BE 38 4377 5059 9172 - BIC KREDBEBB

Member of Deloitte Touche Tohmatsu Limited
© 2018.

**Laga is a civil limited liability cooperative company.

Registered Office: Gateway building, Luchthaven Nationaal 1 J, 1930 Zaventem

0471.858.874 - Brussels Trade Register - ING 310-1381442-54

The list of Laga partners can be obtained upon request or from the Laga website.

Laga BV CVBA and Deloitte Belastingconsulenten BV CVBA have entered into a privileged, multidisciplinary cost-sharing agreement.
",contract
contract_1438076025NDA_280720.txt,1,"&

» \ ; Khoo Teck Puat Sigepere 1 $0808
Hospital a rey See oer
Fo A le 1 Fax: (685) 6602 3700
Alexandra Health Reg.No, 200717864-H
NON-DISCLOSURE AGREEMENT
THIS AGREEMENT is made on the day of
2015 between , a company

incorporated in the Republic of Singapore and having its registered office at

(hereinafter referred to as “the Company”) of the one part and ALEXANDRA

, a company incorporated in the Republic of Singapore and

having its registered office at 90 YISHUN CENTRAL SINGAPORE 768828
(hereinafter referred to as “AHPL”) of the other part.

WHEREAS:

(A)

(B)

(C)

(D)

The parties, for their mutual benefit, may have exchanged and wish to
further exchange certain information, including but not limited to, trade
secrets and proprietary know-how in order that each of them may
evaluate such information for the purpose of determining their respective
interests in establishing a business relationship between them.

The parties wish to define their rights with respect to the said information
and to protect the confidentiality thereof and proprietary features
contained therein.

The Company acknowledges that all information or data relating to the
Purpose whether in writing, orally or by any other means if disclosed
(whether directly or indirectly) to a third (3) party without the express
authorization of AHPL is highly confidential and would have a detrimental
effect on the business of AHPL, and that its disclosure could not only
expose AHPL to liability but also to judicial sanctions and that such
disclosure might also adversely affect AHPL’s patients and under certain
circumstances, disclosure by the Company could expose the Company to
criminal prosecution. In consideration of being made privy to the
Confidential Information, the Company hereby agrees to observe and be
bound by the terms of the Agreement.

The Company acknowledges that all information or data relating to
Purpose also applies to any organisation/institution that is related to AHPL
(i) either by reason of AHPL directly or indirectly controlling the
organisation/institution; (ii) by reason of both AHPL_~ and
organisation/institution being controlled by or under the common control of
a third party; or (ili) by reason that AHPL is obliged to provide support
services to that organisation/institution for any reason. In the context of
corporate entities, a person “controls” the entity if it owns and controls (i)
more than fifty (50) percent of whose shares or other securities entitled to

AHPL Non-Disclosure Agreement 1 NDA_01012014
",contract
contract_1438076025NDA_280720.txt,2,"e y a 8D Yishun Cantral,

» Khoo Teck Puat Singapore 766898

' Hospital lel: (65) 6555 8000
$$ Fax: (68) 6602 3700
Alexandra Health Reg.No, 200717864-H

vote for election of directors (or other managing authority) in the entity, or
(ii) more than fifty (50) percent of the equity interest in the entity, or (ili) is
otherwise able to direct or cause the direction of the management and
policies of such person or entity whether by contract or otherwise.

NOW IT IS HEREBY AGREED AS FOLLOWS:

1. DEFINITIONS

In this Agreement, the following expressions shall have the following
meanings:

1.1. ‘Purpose’ shall mean any discussions and negotiations between or
within the parties concerning or in connection with the establishment of
a business relationship between the parties.

—
~— NO

‘Confidential Information’ shall mean all information received from the
other party which the latter has indicated in writing or labelled to be
“Confidential”, “Proprietary Information” or with any other comparable
legend to similar effect, at the time of disclosure [or if disclosed orally,
confirmed in writing by the disclosing party as such within fifteen (15)
days after its disclosure], which it may acquire in relation to the other
party, including but without any limitation whatsoever:

@ :

(i) all commercial, marketing and business information, strategic and
development plans, intentions, any matter concerning AHPL, its
affairs, business, operations, shareholders, directors, officers,
business associates, clients or any other person or entity having
dealings with AHPL;

(ii) information relating to the financial condition of AHPL, its
accounts, audited or otherwise, notes, memoranda, documents
and/or records in any form whatsoever, whether electronic or
otherwise; and

(iii) scientific, technical, intellectual or other information in any form
whatsoever, whether electronic or otherwise, relating to methods,
processes, formulae, compositions, systems, techniques, product
information, inventions, know-how, trade secrets, design rights,
machines, computer programs, software, development codes and
research projects; business plans, co-developer/collaborator
identities, data, business records of every nature, customer lists
and client database, pricing data, project records, market reports,
sources of supply, employee lists, business manuals, policies and
procedures, information relating to technologies or theory and all

AHPL Non-Disclosure Agreement 2 NDA_01012014
",contract
contract_1438076025NDA_280720.txt,3,"&
4

(b)

(C)

80 Yishun Cantral,

JZ
Khoo Teck Puat Singapore 768828
Hospital Tel: (65) 6555 8000

Fax: (68) 6602 3700

Alexandra Health Reg.No, 200717864-H

other information which may be disclosed by AHPL to the other
party which the other party may be provided access by AHPL,
whether stored electronically or otherwise; all information which is
deemed by AHPL to be Confidential Information or which is
generated as a result of or in connection with the business of
AHPL and which is not generally available to the public; and all
copies, reproductions and extracts thereof, in any format or
manner of storage, whether in whole or in part, together with any
other property of AHPL made or acquired by the other party or
coming into their possession or control in any manner
whatsoever.

All information as stated in Clause 1.2(a) above shall be and remain the
sole property of the Discloser and shall be returned to the Discloser
forthwith on demand at any time or without demand upon the
termination of the other party's services.

The Company shall ensure that none of the patients of AHPL can be
identified in any reports, submissions and publications of the Company,
which shall be deemed to be Confidential information of AHPL within the
meaning of this clause. Confidential Information does not include
information:

(i)

(ii)

(iii)

which is or becomes public knowledge and public property in any
way without breach of this Agreement by the Recipient;

which the Recipient can show has been known or has been
developed by or for the Recipient at any time independently of
the information disclosed to it by the Discloser;

which is hereafter disclosed or made available to the Recipient
from a source other than the Discloser without breach by the
Recipient or such source of any obligation of confidentiality or
non-use towards the Discloser;

which is hereafter made generally available by the Discloser or a
third party or is disclosed by the Discloser to a third party without
restriction on disclosure or use, including without limitation, by
way of the publication of a patent specification;

which is disclosed orally unless it is identified as confidential at
the time of disclosure and confirmed as such in writing by the
Discloser within thirty (30) days of disclosure;

which is disclosed by the Recipient with the prior written approval
of the Discloser; or

AHPL Non-Disclosure Agreement 3 NDA_01012014
",contract
